Time,GDP in (T$),UR%,IR%,DJ Index ($),Gold ($)
2021.25,22.41,0.060,0.0007,33874.85,1718.23
2021.166667,21.75,0.062,0.0008,32981.55,1808.17
2021.083333,21.99,0.063,0.0009,30932.37,1866.98
2021,21.47,0.067,0.0009,29982.62,1858.42
2020.916667,21.38,0.067,0.0009,30606.48,1866.30
2020.833333,21.64,0.069,0.0009,29638.64,1900.27
2020.75,21.47,0.078,0.0009,26501.6,1921.92
2020.666667,21.13,0.084,0.0010,27781.7,1968.63
2020.583333,20.91,0.102,0.0009,28430.05,1846.51
2020.5,20.57,0.111,0.0008,26428.32,1732.22
2020.416667,19.42,0.133,0.0005,25812.88,1715.91
2020.333333,18.58,0.148,0.0005,25383.11,1683.17
2020.25,20.83,0.044,0.0065,24345.72,1591.93
2020.166667,22.01,0.035,0.0158,21917.16,1597.10
2020.083333,21.85,0.035,0.0155,25409.36,1560.67
2020,21.82,0.036,0.0155,28256.03,1479.13
2019.916667,21.72,0.036,0.0155,28538.44,1470.79
2019.833333,21.70,0.036,0.0183,28051.41,1494.81
2019.75,21.59,0.035,0.0204,27046.23,1510.58
2019.666667,21.51,0.037,0.0213,26916.83,1500.41
2019.583333,21.52,0.036,0.0240,26403.28,1412.89
2019.5,21.40,0.036,0.0238,26864.27,1359.04
2019.416667,21.33,0.037,0.0239,26599.96,1283.70
2019.333333,21.25,0.037,0.0242,24815.04,1285.91
2019.25,21.13,0.038,0.0241,26592.91,1300.90
2019.166667,21.10,0.038,0.0240,25928.68,1320.07
2019.083333,21.12,0.040,0.0240,25916,1291.75
2019,20.94,0.039,0.0227,24999.67,1250.40
2018.916667,20.88,0.037,0.0220,23327.46,1220.65
2018.833333,20.92,0.038,0.0219,25538.46,1215.39
2018.75,20.79,0.037,0.0195,25115.76,1198.39
2018.666667,20.76,0.038,0.0191,26458.31,1201.71
2018.583333,20.68,0.038,0.0191,25964.82,1237.71
2018.5,20.62,0.040,0.0182,25415.19,1281.57
2018.416667,20.59,0.038,0.0170,24271.41,1303.45
2018.333333,20.37,0.040,0.0169,24415.84,1334.76
2018.25,20.21,0.040,0.0151,24163.15,1324.66
2018.166667,20.18,0.041,0.0142,24103.11,1330.73
2018.083333,20.10,0.041,0.0141,25029.2,1331.30
2018,20.02,0.041,0.0130,26149.39,1264.45
2017.916667,19.95,0.042,0.0116,24719.22,1281.90
2017.833333,19.78,0.041,0.0115,24272.35,1279.51
2017.75,19.73,0.042,0.0115,23377.24,1314.07
2017.666667,19.60,0.044,0.0116,22405.09,1283.04
2017.583333,19.51,0.043,0.0115,21948.1,1236.84
2017.5,19.50,0.043,0.0104,21891.12,1260.26
2017.416667,19.38,0.044,0.0091,21349.63,1246.04
2017.333333,19.19,0.044,0.0090,21008.65,1266.88
2017.25,19.28,0.044,0.0079,20940.51,1231.42
2017.166667,19.17,0.047,0.0066,20663.22,1234.20
2017.083333,19.12,0.047,0.0065,20812.24,1192.10
2017,19.09,0.047,0.0054,19864.09,1157.36
