"","Rk","Pk","Tm","Player","College","Yrs","G","TOTMP","TOTPTS","TOTTRB","TOTAST","FG%","3P%","FT%","WS","WS/48","BPM","VORP","DraftYr","MPG","PPG","RPG","APG","playerurl","DraftYear"
"1",1,1,"BRK","Derrick Coleman","Syracuse",15,781,25903,12884,7232,1985,0.447,0.295,0.769,64.3,0.119,1.4,22.3,1990,33.2,16.5,9.3,2.5,"https://www.sports-reference.com/cbb/players/derrick-coleman-1.html",1990
"2",2,2,"OKC","Gary Payton","Oregon State",17,1335,47117,21813,5269,8966,0.466,0.317,0.729,145.5,0.148,3.3,62.5,1990,35.3,16.3,3.9,6.7,"https://www.sports-reference.com/cbb/players/gary-payton-1.html",1990
"3",3,3,"DEN","Mahmoud Abdul-Rauf","LSU",9,586,15628,8553,1087,2079,0.442,0.354,0.905,25.2,0.077,-0.8,4.5,1990,26.7,14.6,1.9,3.5,"https://www.sports-reference.com/cbb/players/mahmoud-abdul-rauf-1.html",1990
"4",4,4,"ORL","Dennis Scott","Georgia Tech",10,629,17983,8094,1774,1296,0.417,0.397,0.793,33.4,0.089,0.2,9.9,1990,28.6,12.9,2.8,2.1,"https://www.sports-reference.com/cbb/players/dennis-scott-1.html",1990
"5",5,5,"CHA","Kendall Gill","Illinois",15,966,29481,12914,4002,2945,0.434,0.3,0.754,47.8,0.078,0.1,15.8,1990,30.5,13.4,4.1,3,"https://www.sports-reference.com/cbb/players/kendall-gill-1.html",1990
"6",6,6,"MIN","Felton Spencer","Louisville",12,640,12298,3354,3436,213,0.484,0,0.658,20.9,0.081,-4.3,-7,1990,19.2,5.2,5.4,0.3,"https://www.sports-reference.com/cbb/players/felton-spencer-1.html",1990
"7",7,7,"SAC","Lionel Simmons","La Salle",7,454,13472,5833,2833,1498,0.433,0.305,0.771,16.9,0.06,0,6.7,1990,29.7,12.8,6.2,3.3,"https://www.sports-reference.com/cbb/players/lionel-simmons-1.html",1990
"8",8,8,"LAC","Bo Kimble","Loyola Marymount",3,105,1336,574,162,98,0.386,0.291,0.728,0.1,0.004,-5.7,-1.2,1990,12.7,5.5,1.5,0.9,"https://www.sports-reference.com/cbb/players/bo-kimble-1.html",1990
"9",9,9,"MIA","Willie Burton","Minnesota",8,316,6666,3243,932,393,0.424,0.345,0.786,9.1,0.065,-2.5,-0.9,1990,21.1,10.3,2.9,1.2,"https://www.sports-reference.com/cbb/players/willie-burton-1.html",1990
"10",10,10,"ATL","Rumeal Robinson","Michigan",6,336,6098,2546,606,1179,0.432,0.344,0.611,5.2,0.041,-1.5,0.8,1990,18.1,7.6,1.8,3.5,"https://www.sports-reference.com/cbb/players/rumeal-robinson-1.html",1990
"11",11,11,"GSW","Tyrone Hill","Xavier",14,801,22388,7532,6854,647,0.502,0,0.643,56.2,0.12,-1.9,0.8,1990,28,9.4,8.6,0.8,"https://www.sports-reference.com/cbb/players/tyrone-hill-1.html",1990
"12",12,12,"HOU","Alec Kessler","Georgia",4,210,2937,1084,751,81,0.426,0.417,0.744,2,0.033,-5.9,-2.8,1990,14,5.2,3.6,0.4,"https://www.sports-reference.com/cbb/players/alec-kessler-1.html",1990
"13",13,13,"LAC","Loy Vaught","Michigan",11,689,16993,6984,4881,652,0.504,0.244,0.718,35.8,0.101,-1.5,2.2,1990,24.7,10.1,7.1,0.9,"https://www.sports-reference.com/cbb/players/loy-vaught-1.html",1990
"14",14,14,"SAC","Travis Mays","Texas",3,115,2964,1273,233,326,0.41,0.362,0.749,2.4,0.039,-2.6,-0.5,1990,25.8,11.1,2,2.8,"https://www.sports-reference.com/cbb/players/travis-mays-1.html",1990
"15",15,15,"MIA","Dave Jamerson","Ohio University",3,90,594,306,77,61,0.392,0.277,0.86,0.2,0.018,-3.9,-0.3,1990,6.6,3.4,0.9,0.7,"https://www.sports-reference.com/cbb/players/dave-jamerson-1.html",1990
"16",16,16,"MIL","Terry Mills","Michigan",11,678,16422,7175,3680,891,0.457,0.384,0.781,33.3,0.097,-0.6,5.9,1990,24.2,10.6,5.4,1.3,"https://www.sports-reference.com/cbb/players/terry-mills-1.html",1990
"17",17,17,"NYK","Jerrod Mustaf","Maryland",4,179,1902,721,452,99,0.449,0,0.648,1.7,0.043,-4.1,-1,1990,10.6,4,2.5,0.6,"https://www.sports-reference.com/cbb/players/jerrod-mustaf-1.html",1990
"18",18,18,"SAC","Duane Causwell","Temple",11,541,9409,2648,2273,243,0.507,0.286,0.618,15.8,0.081,-2.3,-0.7,1990,17.4,4.9,4.2,0.4,"https://www.sports-reference.com/cbb/players/duane-causwell-1.html",1990
"19",19,19,"BOS","Dee Brown","Jacksonville University",12,608,16843,6758,1569,2227,0.436,0.357,0.825,33.4,0.095,0.8,11.6,1990,27.7,11.1,2.6,3.7,"https://www.sports-reference.com/cbb/players/dee-brown-1.html",1990
"20",20,20,"MIN","Gerald Glass","Ole Miss",4,201,3347,1553,512,298,0.433,0.236,0.643,1.8,0.025,-1.9,0.1,1990,16.7,7.7,2.5,1.5,"https://www.sports-reference.com/cbb/players/gerald-glass-1.html",1990
"21",21,21,"PHO","Jayson Williams","St. John's",9,475,9805,3472,3584,287,0.44,0.125,0.606,20,0.098,-2.8,-2.1,1990,20.6,7.3,7.5,0.6,"https://www.sports-reference.com/cbb/players/jayson-williams-1.html",1990
"22",22,22,"BRK","Tate George","UConn",4,177,2019,736,180,325,0.414,0.071,0.82,1.3,0.032,-3.5,-0.8,1990,11.4,4.2,1,1.8,"https://www.sports-reference.com/cbb/players/tate-george-1.html",1990
"23",23,23,"SAC","Anthony Bonner","Saint Louis",6,318,7372,2199,1726,442,0.468,0.125,0.59,10.8,0.07,-2,0.1,1990,23.2,6.9,5.4,1.4,"https://www.sports-reference.com/cbb/players/anthony-bonner-1.html",1990
